batch,kernel_time,flops,utils,kernel_name
26964,20576.63,153.9,0.92711,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26968,20457.7,154.81,0.93259,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26972,20417.32,155.14,0.93458,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26976,20313.19,155.96,0.93952,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26980,20515.54,154.45,0.93042,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26984,20515.9,154.47,0.93054,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26988,20560.5,154.15,0.92861,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26992,20531.92,154.39,0.93006,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26996,20467.45,154.9,0.93313,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
27000,20432.33,155.19,0.93488,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
27004,20431.6,155.22,0.93506,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
27008,20513.59,154.62,0.93145,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
27012,24121.4,131.51,0.79223,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
27016,24128.93,131.49,0.79211,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
27020,24142.68,131.44,0.79181,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
27024,24131.74,131.52,0.79229,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
27028,24125.0,131.57,0.79259,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
27032,24137.83,131.52,0.79229,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
27036,24127.8,131.6,0.79277,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
27040,24136.3,131.57,0.79259,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
27044,24120.86,131.67,0.79319,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
27048,24116.19,131.72,0.79349,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
27052,24130.81,131.66,0.79313,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
27056,24121.05,131.73,0.79355,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
